license_num,status,license_type,issued,expires,business_name,dba_name,comments,location_comments,applicant,manager,day_phone,evening_phone,address,city,state,zip,gpsx,gpsy
CAL-516407,Active,Live Entertainment,2023-02-06,2023-12-31,"JBond, LLC",Fete,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am 3 Premise operate as nightclub There shall be no cover charge use promoters 4 designated dance floor 5 Live entertainment operated until 00 m seven 7 days week,,Shahrokh Reza,Shahrokh Reza,(617)201-6996,,25-   Kingston ST,Boston,MA,02111,775300.962633893,2954243.31426979
CAL-520489,Active,Non-Live Entertainment,2023-02-03,2023-12-31,Food's Style USA Inc.,Hokkaido Ramen Santouka,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 dB any time may 50 between 11 00 PM 7 AM per Boston Ordinance,,Tatsunori Tanaka,Tatsunori Tanaka,,,169-  Brighton AVE,Allston,MA,02134,755551.338475376,2953982.448075
CAL-520248,Active,Non-Live Entertainment,2023-01-31,2023-12-31,Foundation Kitchen LLC,Foundation Kitchen,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Henry Patterson,Henry Patterson,,,32-  Cambridge ST,Charlestown,MA,02129,771165.251993924,2965089.60562134
CAL-519171,Active,Non-Live Entertainment,2023-01-20,2023-12-31,Five Iron Golf Boston LLC ,Five Iron Golf,1 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 2 NOISE LEVELS TO EXCEED 50 DB ANY TIME MAY 70 BETWEEN 11PM 7AM PER BOSTON ORDINANCE 3 ONLY LOWER LEVEL BE OPERATED THIS,,Seamus O'Sullivan,Seamus O'Sullivan,,,1     Washington Mall  ,Boston,MA,02108,0,0
CAL-519047,Active,Non-Live Entertainment,2023-01-10,2023-12-31,Buccellati LLC,Mamma Maria,1 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 2 NOISE LEVELS TO EXCEED 50 DB ANY TIME MAY 70 BETWEEN 11PM 7AM PER BOSTON ORDINANCE,,Ruben Maciel,Ruben Maciel,(781)215-4354,,3-   North SQ,Boston,MA,02113,776886.82905525,2958012.47367875
CAL-516473,Active,Non-Live Entertainment,2022-12-30,2022-12-31,"VINCRU, CORP.",Troquet,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Christopher Campbell,Christopher Campbell,,,107     South ST,Boston,MA,02111,775680.989232472,2953399.2784133
CAL-518358,Active,Non-Live Entertainment,2022-12-30,2022-12-31,Sweet Rice Thai Sushi Inc.,Sweet Rice Thai Sushi,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Narumon Jenkitcharoenchai,Narumon Jenkitcharoenchai,(617)943-7890,,187-  Main ST,Charlestown,MA,02129,773779.700988352,2962345.88232279
CAL-518314,Active,Non-Live Entertainment,2022-12-28,2023-12-31,"Cosi Restaurant Holdings, LLC",COSI,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Marcia Simmons,Marcia Simmons,(857)577-7513,,133     Federal ST,Boston,MA,02110,776016.282398432,2954432.88042742
CAL-518323,Active,Non-Live Entertainment,2022-12-28,2022-12-31,Dorchester Tavern LLC,The Dot Tavern,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 dB any time may 50 between 11 00 PM 7 AM per Boston Ordinance,,Maeghan Driscoll,Maeghan Driscoll,,,840-  Dorchester AVE,Dorchester,MA,02125,776076.823998496,2942734.70633651
CAL-518218,Active,Non-Live Entertainment,2022-12-27,2022-12-31,Eem-Aim Corporation,Balamao,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Piyawut Parinyawut,Piyawut Parinyawut,(617)992-6442,,433     Washington ST,Brighton,MA,02135,748941.536101222,2952516.87568963
CAL-518220,Active,Non-Live Entertainment,2022-12-27,2023-12-31,Food House Inc.,Friendship BBQ Allston,,,So Lim Ting,So Lim Ting,(917)682-0038,,103-  Brighton AVE,Allston,MA,02134,756038.035499826,2953885.79159491
CAL-515898,Active,Non-Live Entertainment,2022-12-22,2022-12-31,Beacon Compassion Inc.,UpTop (Cannabis),CANNABIS RETAIL STORE No CI PLA 1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Matt Taber,Matt Taber,,,1524-  VFW PKWY,West Roxbury,MA,02132,745382.498111097,2922968.5438506
CAL-516293,Active,Non-Live Entertainment,2022-12-13,2022-12-31,DBMK Corp,Jongro BBQ,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Dong Kim,Dong Kim,,,1414     Commonwealth AVE,Allston,MA,02135,753742.000009686,2952240.00000937
CAL-515874,Active,Non-Live Entertainment,2022-12-08,2022-12-31,Parm Copley LLC,Parm,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Angela Cortese,Angela Cortese,,,100-  Huntington Av,Boston,MA,02116,770288.520868316,2951823.41222744
CAL-515874,Active,Non-Live Entertainment,2022-12-08,2022-12-31,Parm Copley LLC,Parm,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Angela Cortese,Todd Yamamoto,,,100-  Huntington Av,Boston,MA,02116,770288.520868316,2951823.41222744
CAL-515873,Active,Non-Live Entertainment,2022-12-06,2022-12-31,Panda Legend Inc.,Kao BBQ,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,David Liu,David Liu,,,85-  Harvard AVE,Allston,MA,02134,755516.893666599,2954052.76069115
CAL-494243,Active,Non-Live Entertainment,2022-11-22,2022-12-31,"La Casa del Caffe, Inc.",Kicco Italian Coffee,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Takeout Only,,Vittorio Wurzburger,Vittorio Wurzburger,(857)317-9040,,1-  Nashua ST,Boston,MA,02114,774185.550524193,2958679.26977952
CAL-512349,Active,Non-Live Entertainment,2022-11-14,2022-12-31,Casa Giacomos LLC,Casa Giacomos,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Irakli Gogitdze,Irakli Gogitdze,,,431-   Columbus AVE,Boston,MA,02116,770301.167385116,2950691.81607193
CAL-511596,Active,Non-Live Entertainment,2022-11-07,2022-12-31,"LSF Park Square, LLC",Legal Sea Foods #515,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,,Ralph Constantine,Ralph Constantine,,,300     Boylston ST,Boston,MA,02116,772425.838203088,2953527.47665057
CAL-511930,Active,Non-Live Entertainment,2022-11-07,2022-12-31,Seaport Social Limited Partnership,Seaport Social,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am STATE CI MASSPORT ASSEMBLY,,Adrian Fuentes,Adrian Fuentes,,,225-  Northern AVE,Boston,MA,02210,780856.910131044,2952373.06033992
CAL-511625,Active,Non-Live Entertainment,2022-10-28,2022-12-31,"Mission Hill Hospitality, LLC",Yellow Door Taqueria,1 Entertainment is not permitted outside 2 Noise levels may exceed 70 decibels any time 50 between 11pm 7am per Boston Ordinance,,Colleen Hagerty,Colleen Hagerty,(857)222-0914,,1619     Tremont ST,Roxbury,MA,02120,763416.999986708,2946930.00000443
CAL-495220,Active,Non-Live Entertainment,2022-10-21,2022-12-31,"Two Greeks and a Persian, LLC",Kartel,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am 3 Live entertainment ex DJ instrumental vocal without one license or an annual live,,Shahrokh Reza,Shahrokh Reza,,,520-  Tremont ST,Roxbury,MA,02118,772436.339643106,2950908.74948013
