Park,Location,Feature(s)
Adams/King Playground,Dorchester,"Street Hockey, Playground"
Amatucci Playground,Hyde Park,"Playground, Basketball"
American Legion Playground,East Boston,"Playground, Basketball, Soccer, Players Bench"
A Street Park,135-141 A Street in South Boston,Playground
Back Bay Fens,Fenway-Kenmore,"Basketball, Playground, Players Bench"
Beauford Play Area,Roxbury,Playground
Beethoven School Play Area,West Roxbury,Playground
Billings Field,West Roxbury,"Basketball, Players Bench, Spray Play, Tennis, Playground"
Boston Common,Back Bay/Beacon Hill,"Spray Play, Playground, Tennis, Dog Park"
Brewer-Burroughs Tot Lot,Jamaica Plain,Playground
Buckley Playground,South Boston,"Playground, Spray Play, Basketball"
Bynoe Park,Between Orchard Park & Adams St. in Roxbury,"Players Bench, Playground, Basketball, Tennis, Spray Play"
Byrne Playground,Dorchester,"Street Hockey, Tennis, Playground, Spray Play"
Caldwell Street Play Area,Charlestown,"Spray Play, Playground"
Carter Playground,South End,"Playground, Tennis, Spray Play"
Cassidy Playground,Allston-Brighton,"Players Bench, Tennis"
Ceylon Park I,Roxbury,"Basketball, Playground, Spray Play"
Children's Park,Roxbury,"Playground, Spray Play"
Christopher Columbus Park,Central Boston,"Spray Play, Playground"
Christopher Lee Playground,South Boston,"Basketball, Playground"
Clarendon Street Playlot,Back Bay/Beacon Hill,Playground
Clifford Playground,Roxbury,"Players Bench, Playground, Tennis, Basketball"
Cook Street Play Area,Charlestown,Playground
Crawford Street Playground,Roxbury,"Playground, Players Bench"
Cuneo Park,East Boston,Playground
Cutillo Park,Central Boston,"Basketball, Playground"
Deer Street Park,Dorchester,Playground
Defilippo Playground,Central Boston,"Playground, Dog Park, Basketball, Street Hockey"
Dennis Street Park,Roxbury,"Spray Play, Playground"
Doherty/Gibson Playground,Dorchester,"Playground, Players Bench, Basketball"
Doherty Playground,Charlestown,"Basketball, Playground, Spray Play"
Dorchester Park,Dorchester,"Tennis, Playground"
Downer Avenue Playground,Dorchester,"Dog Park, Basketball, Playground"
Draper Playground,West Roxbury,"Basketball, Playground, Players Bench"
Dudley Town Common,Roxbury,Spray Play
East Boston Memorial Park,East Boston,"Players Bench, Tennis, Spray Play, Playground"
Edgerly Road Playground,Fenway-Kenmore,"Spray Play, Playground"
Edwards Playground,10 Eden Str. in Charlestown,"Basketball, Street Hockey, Playground"
Elliot Norton Park,277 Tremont Str. in Central Boston,Playground
Elmhurst Street Park,27-35 Elmhurst Street in Dorchester,"Spray Play, Playground"
English HS Athletic Fields,144 McBride Str. in Jamaica Plain,"Players Bench, Tennis, Basketball"
Erie/Ellington Playground,Corner of Ellington and Erie in Roxbury,"Playground, Spray Play"
Ernst Chery Jr. Playground,Mattapan,"Spray Play, Playground"
Fallon Field,940 South Str. in Roslindale,"Basketball, Players Bench, Spray Play, Tennis, Playground, Street Hockey"
Father Jack Play Area,345 Walnut Ave. in Roxbury,"Playground, Spray Play"
Fenelon Street Playground,Roxbury,Basketball
Fidelis Way Park,Opposite 1505 Commonwealth Ave. in Allston-Brighton,"Spray Play, Playground, Basketball"
Flaherty Park,Opposite 133 B Str. in South Boston,Playground
Flaherty Playground,Roxbury,Playground
Forbes Street Playground,Jamaica Plain,Playground
Franklin Park I,143 Seaver St. in Roxbury,"Tennis, Basketball, Playground, Spray Play"
Franklin Park II,Roxbury,Players Bench
Frieda Garcia Park,South End,Playground
Garvey Playground,Opposite 345 Neposet Ave. in Dorchester,"Basketball, Street Hockey, Playground, Dog Park, Players Bench"
George Wright Golf Course,420 West Str. in Roslindale,Tennis
Gibbons Playground,10 Sewall Str. in Jamaica Plain,"Spray Play, Playground"
Hannon Playground,Opposite 624 Dudley Str. in Roxbury,"Playground, Basketball, Players Bench"
Harambee Park,120 Westview Str. in Mattapan,"Players Bench, Spray Play, Netball, Playground, Basketball"
Hardiman Playground,Adair Road/Faneuil Str. in Allston-Brighton,"Players Bench, Playground, Spray Play, Basketball"
Hayes Park,Opposite 178 West Canton Str. in South End,Playground
Healy Playground,Opposite 155 Florence Str. in Roslindale,"Playground, Basketball, Spray Play, Players Bench"
Hemenway Playground,531 Adams Str. in Dorchester,"Players Bench, Basketball, Playground"
Hobart Park,Opposite 18 Ranlegh Rd. in Allston-Brighton,"Spray Play, Basketball, Playground"
Holborn Street Playlot,6 Holborn Str. in Roxbury,"Playground, Spray Play"
Hooker-Sorrento Street Playground,120 Hooker Str. in Allston-Brighton,"Playground, Spray Play"
Howes Playground,Roxbury,"Playground, Spray Play"
Hunt Playground,Mattapan,"Playground, Spray Play, Tennis, Basketball, Multipurpose Courts"
Hynes Playground,480 VFW Pkwy in West Roxbury,"Players Bench, Spray Play, Basketball, Playground"
Iacono/Readville Playground,159 Readville Str. in Hyde Park,"Basketball, Players Bench, Tennis, Spray Play, Playground"
Jamaica Pond Park,507 Jamaica Way in Jamaica Plain,Players Bench
